,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09M9TDFD6,Men's Full Sleeve Jacket,Scott International,1,0,0,549,3.1,58,82,,1,58
1,B0999LTT2M,mens Jacket,Jack & Jones,1,0,0,"3,769",4.0,2,37,,1,2
2,B0999NLJYV,mens Jacket,Jack & Jones,1,0,0,"1,929",1.0,1,36,,1,1
3,B0999M9DQB,mens Jacket,Jack & Jones,1,0,0,"2,709",5.0,1,52,,1,1
4,B07HMT3TWF,Men's Quilted Bomber Jacket,Ben Martin,0,0,0,999,3.4,"4,134",71,,1,"4,134"
5,B098SRVC74,Full Sleeve Solid Men's Sleeve Combination Bomper Jacket,VROJASS,0,1,0,644,3.6,754,64,,1,754
6,B096QFCTFR,Full Sleeve Solid Men Denim Jacket,MONTREZ,0,0,0,699,3.6,"1,279",72,,0,"1,279"
7,B0992PGWPK,Men's Denim Jacket,VOXATI,0,0,0,999,3.8,274,62,,1,274
8,B09NHSGDVV,Full Sleeve Solid Men Denim Jacket,MONTREZ,0,0,0,699,3.0,35,72,,0,35
9,B09MZ66M37,Stardust Mens Jacket,Duke,0,0,0,"1,300",4.4,7,50,,1,7
10,B07H5FRHLB,Men's Jacket,Allen Solly,0,0,0,"1,199",3.8,"4,687",52,,1,"4,687"
11,B07TC42T7Y,Women's Quilted,Cazibe,0,0,0,652,4.1,230,82,,1,230
12,B09M9S8BX7,Men's Full Sleeve Jacket,Scott International,0,0,0,549,3.1,58,82,,1,58
13,B09H4T7GBY,Men's Full Sleeve Regular Fit Nylon Casual Jacket,Ben Martin,0,0,0,999,3.7,144,75,,1,144
14,B09PVDW77V,Mens jacket design denim shirt.,dockstreet,0,0,0,698,2.6,10,46,,1,10
15,B073CMWWNZ,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,589,4.2,"1,093",73,,0,"1,093"
16,B07H5KCF9X,Men's Jacket,Allen Solly,0,0,0,"1,343",3.9,"2,034",52,,0,"2,034"
17,B08XQFJV34,Full Sleeve Self Design Women Quilted Jacket,MONTREZ,0,0,0,299,3.7,224,80,,0,224
18,B08P1HCBHP,AWG Men's Cotton Regular Fit Solid Varsity Jacket - Black,AWG ALL WEATHER GEAR,0,0,0,599,3.6,696,80,,1,696
19,B07FKRHQF8,Full Sleeve Solid Women Quilted Jacket,Campus Sutra,0,0,0,539,3.0,5,80,,1,5
20,B085244MQ5,Men's Designer Sublimated Jacket Blue,Triumph,1,0,0,"1,999",3.1,34,20,,1,34
21,B07TYXVT1G,Men's Printed Bomber Jacket,Maniac,1,0,0,397,3.6,504,81,,0,504
22,B08F7X3BX4,Men's / Boy's Running Printed Full Zipper Jacket Grey,Triumph,1,0,0,"1,999",5.0,2,20,,1,2
23,B09N8QV4CD,Men's Black Reversible Winter Jacket with Detachable Cap,American-Elm,1,0,0,"1,799",5.0,1,51,,0,1
24,B08PNTRXQR,Men's Cotton Jacket,Veirdo,0,0,0,599,3.7,"1,012",70,,1,"1,012"
25,B077B6VQ18,Men's Synthetic Track Jacket,Adidas,0,0,0,"1,379",3.6,404,45,,1,404
26,B07SG445Z5,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,989,4.0,926,61,,1,926
27,B07PB5N8Z5,Women's Solid Regular Jacket,FUNDAY FASHION,0,0,0,339,3.8,"2,532",77,,0,"2,532"
28,B084HDZTJW,Full Sleeve Blue Solid Women's Denim Jacket,FUNDAY FASHION,0,1,0,339,3.8,"2,907",77,,1,"2,907"
29,B07SFHWKBF,Men's Quilted Jacket,Qube By Fort Collins,0,0,0,839,4.0,585,64,,1,585
30,B07H5G59KR,Men's Jacket,Allen Solly,0,0,0,"1,199",3.8,"1,463",60,,1,"1,463"
31,B07SH1L7DS,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,799,4.0,585,67,,1,585
32,B07SH67XGX,Men's Jacket,Qube By Fort Collins,0,0,0,499,3.9,"1,153",77,,1,"1,153"
33,B07CW1SC7B,Mens Solid Biker Jacket,Leather Retail,0,0,0,"2,199",3.7,"1,142",45,,1,"1,142"
34,B08C33PWB4,Men's Blouson Jacket,Qube By Fort Collins,0,0,0,519,3.4,28,80,,1,28
35,B07THDZ3H4,Women's Jacket,Cazibe,0,0,0,776,4.1,160,78,,1,160
36,B073JQX5KY,Women's Cape Jacket,Qube By Fort Collins,0,0,0,879,4.0,"1,436",60,,0,"1,436"
37,B08FTCPSMP,Men's Jacket,Qube By Fort Collins,0,0,0,369,3.5,54,80,,0,54
38,B08L4K4VRP,Men's Solid Regular Jacket,SHAUN,0,0,0,359,3.4,132,76,,1,132
39,B0846NJ6JR,"Black Full Sleeve Solid Jacket for Women Stylish Winter Wear Round Neck Jacket for Women & Girls, Zip Closer",DARZI,0,0,0,499,3.9,106,67,,1,106
40,B07SFHWKB4,Men's Jacket,Qube By Fort Collins,0,0,0,749,4.0,"1,189",69,,1,"1,189"
41,B073CP168W,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,769,3.9,696,65,,1,696
42,B09JC8K4S6,Solid Women Regular Denim Jacket,DIMPY GARMENTS,0,0,0,399,3.8,111,73,,0,111
43,B07WG3BB9K,Women's Bomber Jacket,Qube By Fort Collins,0,0,0,927,4.1,652,68,,1,652
44,B07SDG8R8D,Men's Jacket,Qube By Fort Collins,0,0,0,989,3.8,785,61,,1,785
45,B07HRTWJDQ,"Women's Lightweight Wind Cheater Jacket (AW18-IDRY-LJKT-BL, Black)",Scott International,0,0,0,549,3.5,522,78,,1,522
46,B08RCHJ925,Women's Self-Design Jacket,FUNDAY FASHION,0,0,0,449,3.8,395,70,,0,395
47,B09PF6NL92,Men's Slim Fit Jacket,MONTREZ,0,0,0,699,3.2,11,72,,0,11
48,B09BBKG2C8,"Rain Coats for Men, Rain Suit for Outdoor Camping Travel, Raincoat for Women, rain Jackets for Men",ZIYA FASHION,0,0,0,350,3.0,7,80,,1,7
49,B07SLC5THD,Men's Jacket,Qube By Fort Collins,0,0,0,749,4.1,792,69,,1,792
50,B07THDMZNQ,Women's Quilted Jacket,Cazibe,0,0,0,"1,169",4.0,241,66,,1,241
51,B09K3VZ4Y4,"Tokyo Revengers Anime Embroidered Tokyo Manji Bomber Jacket, with Free Tokyo Revengers Anime Face Mask",ComicSense.xyz,0,0,0,"1,799",4.2,34,40,,0,34
52,B09G3K3RMD,Men Solid Puffer Jacket Jerkin,TrapNation,0,0,0,999,3.6,369,70,,1,369
53,B07FBWDZGY,Women's Nylon Bomber Jacket,Qube By Fort Collins,0,0,0,735,4.2,562,68,,0,562
54,B07YC8D7K3,Casual Jacket Stand Collar Zipper Design Regular Jacket Outerwear-(BM-JKT-FS-19972),Ben Martin,0,0,0,999,3.6,"2,109",80,,1,"2,109"
55,B09HC4D1RB,Mens Solid Designer Faux Leather Jacket Black,Leather Retail,0,0,0,"1,499",3.6,"1,306",50,,1,"1,306"
56,B09N8ZK321,Men's Classic Olive Reversible Winter Jacket with Detachable Cap,American-Elm,1,0,0,"1,799",3.4,15,51,,0,15
57,B07MM8NLBQ,Men's Jacket,Puma,1,0,0,"1,599",4.1,59,60,,1,59
58,B095T16CM8,Men's Lightweight Jacket,Amazon Brand - Inkast Denim Co.,1,0,0,959,4.0,595,68,,1,595
59,B08DGCSLB4,Men's Lightweight,Amazon Brand - Symbol,1,0,0,949,3.9,683,71,,1,683
60,B09N93FKWS,Men's Black Reversible Winter Jacket with Detachable Cap,American-Elm,1,0,0,"1,899",5.0,1,49,,0,1
61,B08DGFR66Q,Men's Gilet,Amazon Brand - Inkast Denim Co.,1,0,0,"1,039",3.8,163,73,,1,163
62,B08DGG8F4B,Men's Lightweight Jacket,Amazon Brand - Inkast Denim Co.,1,0,0,"1,019",4.0,595,69,,1,595
63,B09MNHFKTM,Winter Wear Jacket Inside Full Black & White Fur & Made by Rich Cotton Fabric with Hoodies & Hand Gloves for Mens,ADBUCKS,1,0,0,"1,575",3.3,16,21,,1,16
64,B01H6FA66E,Men's Activewear Jacket,Fort Collins,0,0,0,599,3.9,940,51,,1,940
65,B09N8XB9T9,Women's Casual,Harpa,0,0,0,784,0,0,0,,1,₹784
66,B07FBLKYPQ,Men's Jacket,Qube By Fort Collins,0,0,0,959,3.8,688,60,,1,688
67,B07WDWZM33,Women's Jacket,Qube By Fort Collins,0,0,0,999,4.1,621,52,,1,621
68,B082VDWQ47,Men's Solid Wind Cheater Jacket,Scott International,0,0,0,549,3.4,"2,383",78,,1,"2,383"
69,B07FBV8CKF,Women's Parka Hoodie,Qube By Fort Collins,0,0,0,919,4.1,"1,270",60,,1,"1,270"
70,B09MZ78SFQ,Stardust Mens Jacket,Duke,0,0,0,"1,300",4.6,6,50,,0,6
71,B07HRVZTG6,Men's Solid Wind Cheater Jacket,Scott International,0,0,0,549,3.5,"2,668",78,,1,"2,668"
72,B09QTVTF3L,men's denim american rider printed jacket,dockstreet,0,0,0,798,3.0,2,39,,1,2
73,B09PLGX2D5,Women's Denim Solid 3/4 Sleeve Regular Fit Jacket,NIFTY,0,0,0,599,0,0,54,,1,"₹599
₹1,299 Save ₹700 (54%)"
74,B073JS2C5P,Women's Cape Jacket,Qube By Fort Collins,0,0,0,879,4.2,"2,097",60,,1,"2,097"
75,B07J3K8W9D,Men Hooded Sports Jacket,Campus Sutra,0,0,0,849,3.9,529,66,,1,529
76,B07FQQ5MCH,Denim with Grey Hood Front Pocket Button Closure Jacket,Campus Sutra,0,0,0,779,3.5,471,70,,1,471
77,B07SKT979D,Women's Parka Jacket,Qube By Fort Collins,0,0,0,767,4.1,"1,545",68,,1,"1,545"
78,B07TB63QGH,Solid's Mens Jacket | Water Resistant | Reversible | Light Weight | Jacket for Men with Hood | (SLIM FIT),Forest Club,0,0,0,999,3.8,"1,873",55,,1,"1,873"
79,B08Q4289XB,Men's Solid Bomber Jacket,LEOTUDE,0,0,0,499,3.3,400,69,,1,400
80,B09N976JW1,Men's Stylish Designer Reversible Winter Jacket with Detachable Cap,American-Elm,1,0,0,"1,649",3.7,10,48,,0,10
81,B07TMQ7DV5,Men's Quilted,Amazon Brand - Symbol,1,0,0,"1,119",3.9,"1,263",68,,1,"1,263"
82,B095STQDX7,Men's Lightweight Casual Jacket for Layering,Amazon Brand - House & Shields,1,0,0,889,3.9,415,70,,1,415
83,B08F7Y5GCK,Men's / Boy's Workout FullSleeve Zipper Jacket Blue,Triumph,1,0,0,"1,999",2.8,8,20,,1,8
84,B07TGDJWFF,Women's Quilted,Cazibe,0,0,0,"1,169",4.2,423,66,,1,423
85,B07X9TS7Q2,"Men's Casual Shine Leather Solid Jacket (Brown, L)",nida,0,0,0,520,3.0,7,74,,0,7
86,B07TKDRPK9,Men Quilted Bomber Jacket,Amazon Brand - House & Shields,0,0,0,"1,049",3.9,"1,220",74,,1,"1,220"
87,B073CR9SN2,Men's Jacket,Qube By Fort Collins,0,0,0,709,4.0,"2,532",65,,1,"2,532"
88,B08GJ2R5TW,Full Sleeve Solid Women Jacket,MONTREZ,0,0,0,398,3.9,"2,263",73,,0,"2,263"
89,B08CNT2WNK,womens Quilted Jacket,Amazon Brand - Eden & Ivy,0,0,0,722,4.2,22,84,,1,22
90,B073JWP9DM,Women's Cape Jacket,Qube By Fort Collins,0,0,0,"1,039",4.2,"1,124",53,,1,"1,124"
91,B07FBNP5FX,Men's Jacket,Qube By Fort Collins,0,0,0,879,4.0,"1,159",60,,1,"1,159"
92,B077FPNT23,Men's Jacket,OJASS,0,0,0,750,3.8,"4,848",69,,1,"4,848"
93,B07WLRK8ZB,Girl's Trench Regular fit Jacket,Naughty Ninos,0,0,0,739,4.1,515,63,,1,515
94,B09H7FK1L3,by Shoppers Stop Solid Denim V-Neck Boys Jacket,LIFE,0,0,0,750,4.7,4,50,,1,4
95,B073CRRT9Y,Men's Jacket,Qube By Fort Collins,0,0,0,909,4.0,"3,760",59,,1,"3,760"
96,B09CV72HFM,Women's Parka Coat,Qube By Fort Collins,0,0,0,703,4.1,7,68,,1,7
97,B08CNP2WH9,womens Quilted Jacket,Amazon Brand - Eden & Ivy,0,0,0,715,3.9,25,84,,1,25
98,B082L3Y78N,Men's Solid Bomber Jacket,Be savage,0,0,0,999,3.5,273,33,,1,273
99,B07FBWB1G6,Women's Nylon Bomber Jacket,Qube By Fort Collins,0,0,0,735,4.0,924,68,,1,924
100,B073CR9SN6,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,879,4.0,"2,215",60,,1,"2,215"
101,B07V3D4PJB,Women's Quilted,Amazon Brand - Symbol,0,0,0,484,4.0,590,86,,0,590
102,B099X4GTRD,mens Jacket,Qube By Fort Collins,0,0,0,"1,379",4.1,125,51,,1,125
103,B09HL7N1H4,"Men's Olive Green 12 Zip, 10 Pocket Winter Tactical Jacket Water Proof Jacket",ONE FORT,0,0,0,"1,649",3.8,15,67,,1,15
104,B074NVX3MM,Men's Solid Regular Jacket,Ico Blue Stor,0,0,0,899,4.0,"2,322",73,,1,"2,322"
105,B09HKZSJR5,Sports Jacket for Women | Track Jackets for Women | Quick-Dry Technology | Light Weight |,Forest Club,0,0,0,759,3.8,28,53,,1,28
106,B07SFY78H1,Women's Bomber Jacket,Qube By Fort Collins,0,0,0,"1,039",4.1,"1,087",60,,1,"1,087"
107,B08T6NXLVG,Women Solid Cotton Jacket Full Sleeve for Girls,DNEXT,0,0,0,370,3.8,"1,324",75,,1,"1,324"
108,B07V28C858,Women's Jacket,Amazon Brand - Symbol,0,0,0,623,4.1,"1,112",84,,1,"1,112"
109,B08P4W89PL,Cotton Hooded Regular Fit Jacket for Women (JB_W33_MRNNAVY_P_Maroon_P),JUNEBERRY,0,0,0,499,3.7,80,75,,1,80
110,B09MM785ZG,Men's Bomber Jacket,Duke,0,0,0,"1,300",3.9,12,50,,0,12
111,B07SC9QYCL,Men's Jacket,Qube By Fort Collins,0,0,0,849,3.8,252,63,,1,252
112,B073CR9SNL,Men's Jacket,Qube By Fort Collins,0,0,0,889,3.7,548,61,,1,548
113,B08T1Y7TX5,Men Denim Jacket,Avadat,0,0,0,"1,399",3.7,161,30,,1,161
114,B08PKF81GG,Women Sea Green & Yellow Colourblocked Corduroy Bomber Jacket,THE DRY STATE,0,0,0,749,3.9,29,75,,1,29
115,B07SKJD15K,Men's Solid Regular Jacket,OJASS,0,0,0,584,3.8,"1,054",71,,1,"1,054"
116,B07TXWF6WM,Men's Printed Bomber Jacket,Maniac,1,0,0,379,3.6,504,82,,0,504
117,B08F7Y4KJ4,Men's & Boy's Running / Cricket / Sports Jacket Blue,Triumph,1,0,0,"1,999",4.5,2,20,,1,2
118,B08DGFMSND,Men's Lightweight,Amazon Brand - House & Shields,1,0,0,779,3.3,134,69,,1,134
119,B07VGB9XNN,Men's Jacket,Puma,1,0,0,"1,504",0,0,65,,1,"₹1,504
₹4,299 Save ₹2,795 (65%)"
120,B09N8NV8R7,Men's Black Reversible Winter Jacket with Detachable Cap,American-Elm,1,0,0,"1,949",5.0,1,47,,0,1
121,B08DGCS2PX,Men's Gilet,Amazon Brand - Inkast Denim Co.,1,0,0,"1,039",3.8,163,73,,1,163
122,B08F9KWB52,Men's Fitted,Reebok,1,0,0,"5,776",3.8,4,36,,1,4
123,B07TNTGHQW,Men's Quilted,Amazon Brand - Symbol,1,0,0,"1,119",3.9,"1,263",71,,1,"1,263"
124,B08PKF81GG,Women Sea Green & Yellow Colourblocked Corduroy Bomber Jacket,THE DRY STATE,0,0,0,749,3.9,29,75,,1,29
125,B07SKJD15K,Men's Solid Regular Jacket,OJASS,0,0,0,584,3.8,"1,054",71,,1,"1,054"
126,B09MWKXM88,Women's Jacket Jerkin,Lavozia,0,0,0,999,4.0,79,70,,1,79
127,B08PFZQKC1,Men's Regular Fit Washed Full Sleeve Denim Jacket,Urbano Fashion,0,0,0,999,3.7,715,58,,1,715
128,B099243SKH,Men's Faux Leather Motorcycle Fashion Biker Style,Leather Retail,0,0,0,"1,699",3.8,52,58,,1,52
129,B09J2T2V2Q,Men's Regular 100% Cotton Sleeveless 2 In One Reversible Jacket Light Weight (SLIM FIT),YOUNGISH,0,0,0,995,4.3,82,66,,1,82
130,B0851C27KS,Men's Jacket,Qube By Fort Collins,0,0,0,729,4.0,"1,037",64,,1,"1,037"
131,B073CQFH9F,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,"1,099",4.0,"2,894",50,,1,"2,894"
132,B09CV7XP9H,Women's Bomber Jacket,Qube By Fort Collins,0,0,0,959,4.2,"2,036",60,,1,"2,036"
133,B0993Q6W4V,womens Jacket,Qube By Fort Collins,0,0,0,"1,049",4.0,15,50,,1,15
134,B09B2F4JXC,Women's Jacket,Amazon Brand - Symbol,0,0,0,"1,004",3.4,7,75,,1,7
135,B08B5HHLV3,Women's Quilted,Amazon Brand - Symbol,0,0,0,787,3.9,354,83,,1,354
136,B09NKYRV2M,Men's Cotton Fleece Bomber Jacket,Crazy Prints,0,0,0,499,0,0,50,,1,"₹499
₹999 Save ₹500 (50%)"
137,B09CV6DPZ3,Women's Parka Coat,Qube By Fort Collins,0,0,0,831,4.3,7,68,,1,7
138,B08T12554Z,X FREAKINS Men's Cotton Relaxed Solid Denim Jacket,Svensson & Co.,0,0,0,"1,399",3.9,428,30,,1,428
139,B09NBS23BM,Women's Casual Jacket,Mode By Red Tape,0,0,0,"2,119",4.0,8,61,,1,8
140,B08LYMRNBV,Men's Lightweight Jacket,Amazon Brand - Inkast Denim Co.,1,0,0,889,4.0,595,73,,1,595
141,B07T9GHB8C,Men's Half Zip,Amazon Brand - Inkast Denim Co.,1,0,0,"1,209",3.7,361,70,,1,361
142,B07TKM2DCP,Men's Quilted,Amazon Brand - Symbol,1,0,0,"1,089",4.0,"1,464",64,,1,"1,464"
143,B07TFRR4FM,Men's Cotton Baseball Collar Jacket,Amazon Brand - Inkast Denim Co.,1,0,0,"1,315",3.6,637,74,,1,637
144,B07TSKJF9G,Men's Striped Regular Jacket,Maniac,0,1,0,348,3.8,70,81,,0,70
145,B073JWP9FY,Women's Cape Nylon Jacket,Qube By Fort Collins,0,0,0,879,4.2,548,60,,1,548
146,B073CQH81J,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,769,4.0,"1,132",65,,1,"1,132"
147,B08LZ1FV92,Men's Lightweight Jacket,Amazon Brand - Inkast Denim Co.,0,0,0,879,4.0,595,71,,1,595
148,B078RPDJDG,AWG - All Weather Gear Men's Cotton High Neck Sweatshirt,AWG ALL WEATHER GEAR,0,0,0,649,3.9,467,84,,1,467
149,B09LZ6MSPN,Outerwear Womens Multicolor Cotton Handmade Traditional Rajasthani Design front Embroidered Kutchi Work Jacket/Koti,Generic,0,0,0,349,0,0,65,,0,"₹349
₹999 Save ₹650 (65%)"
150,B08K9Q7Q2H,Women's Parka Jacket,Qube By Fort Collins,0,0,0,789,4.2,45,67,,1,45
151,B075SC3F7Y,Men's Track Jacket,Adidas,0,0,0,"1,199",3.9,147,60,,0,147
152,B07X6J6C8S,Classy Faux Leather Jacket for Boys,LAPATA,0,0,0,499,3.2,308,50,,0,308
153,B081F9VTM1,mens silk Dupion Nehru Jacket Waistcoat,BENSTOKE,0,0,0,399,3.5,106,80,,0,106
154,B084MD4NJ6,Men Solid Biker Denim Jacket,KOTTY,0,0,0,629,3.5,76,79,,1,76
155,B09F38HLNV,Men's Winter Jacket,FUGAZEE,0,0,0,"2,049",3.9,27,32,,1,27
156,B07S7LQZL7,Men's Blended Bandhgala Festive Nehru Jacket/Waistcoat and Size Options (Up to2XL),hangup,0,0,0,"1,199",3.9,435,70,,1,435
157,B0749PMZZ6,BIS Creations Men's Cotton Blend Jacket,BIS Creations,0,1,0,450,3.8,"1,826",62,,0,"1,826"
158,B08CBH9RN4,Girls Jacket,Amazon Brand - Jam & Honey,0,0,0,738,4.2,34,75,,1,34
159,B07MJ1D59K,Regular Denim Jacket For Women,DIMPY GARMENTS,0,0,0,389,3.8,566,74,,0,566
160,B07Z25T5NB,Qube by Fort Collins Women's Jacket,Qube By Fort Collins,0,0,0,"1,149",4.2,932,50,,1,932
161,B09MPRSW75,Women's Winters Solid Jacket (Jack1 Series),eWools,0,0,0,347,4.0,5,83,,1,5
